basic_form,pos,pos_detail_1,pos_detail_2,word_type
あばれる,名詞,ポケモン,わざ,KNOWN
アフロブレイク,名詞,ポケモン,わざ,KNOWN
いあいぎり,名詞,ポケモン,わざ,KNOWN
いかり,名詞,ポケモン,わざ,KNOWN
いかりのまえば,名詞,ポケモン,わざ,KNOWN
おうふくビンタ,名詞,ポケモン,わざ,KNOWN
おんがえし,名詞,ポケモン,わざ,KNOWN
かいりき,名詞,ポケモン,わざ,KNOWN
かたきうち,名詞,ポケモン,わざ,KNOWN
がまん,名詞,ポケモン,わざ,KNOWN
がむしゃら,名詞,ポケモン,わざ,KNOWN
からげんき,名詞,ポケモン,わざ,KNOWN
からみつく,名詞,ポケモン,わざ,KNOWN
ギガインパクト,名詞,ポケモン,わざ,KNOWN
きつけ,名詞,ポケモン,わざ,KNOWN
きりさく,名詞,ポケモン,わざ,KNOWN
こうそくスピン,名詞,ポケモン,わざ,KNOWN
しぜんのめぐみ,名詞,ポケモン,わざ,KNOWN
じたばた,名詞,ポケモン,わざ,KNOWN
じばく,名詞,ポケモン,わざ,KNOWN
しめつける,名詞,ポケモン,わざ,KNOWN
しんそく,名詞,ポケモン,わざ,KNOWN
スイープビンタ,名詞,ポケモン,わざ,KNOWN
ずつき,名詞,ポケモン,わざ,KNOWN
すてみタックル,名詞,ポケモン,わざ,KNOWN
たいあたり,名詞,ポケモン,わざ,KNOWN
だいばくはつ,名詞,ポケモン,わざ,KNOWN
たたきつける,名詞,ポケモン,わざ,KNOWN
ダブルアタック,名詞,ポケモン,わざ,KNOWN
タマゴばくだん,名詞,ポケモン,わざ,KNOWN
たまなげ,名詞,ポケモン,わざ,KNOWN
つのでつく,名詞,ポケモン,わざ,KNOWN
つのドリル,名詞,ポケモン,わざ,KNOWN
てかげん,名詞,ポケモン,わざ,KNOWN
でんこうせっか,名詞,ポケモン,わざ,KNOWN
とげキャノン,名詞,ポケモン,わざ,KNOWN
とっしん,名詞,ポケモン,わざ,KNOWN
とっておき,名詞,ポケモン,わざ,KNOWN
なしくずし,名詞,ポケモン,わざ,KNOWN
にぎりつぶす,名詞,ポケモン,わざ,KNOWN
ねこだまし,名詞,ポケモン,わざ,KNOWN
ネコにこばん,名詞,ポケモン,わざ,KNOWN
ネズミざん,名詞,ポケモン,わざ,KNOWN
のしかかり,名詞,ポケモン,わざ,KNOWN
ハイパードリル,名詞,ポケモン,わざ,KNOWN
ハサミギロチン,名詞,ポケモン,わざ,KNOWN
はさむ,名詞,ポケモン,わざ,KNOWN
はたく,名詞,ポケモン,わざ,KNOWN
ひっかく,名詞,ポケモン,わざ,KNOWN
ひっさつまえば,名詞,ポケモン,わざ,KNOWN
ひみつのちから,名詞,ポケモン,わざ,KNOWN
ピヨピヨパンチ,名詞,ポケモン,わざ,KNOWN
ブイブイブレイク,名詞,ポケモン,わざ,KNOWN
フェイント,名詞,ポケモン,わざ,KNOWN
ふみつけ,名詞,ポケモン,わざ,KNOWN
ブレイククロー,名詞,ポケモン,わざ,KNOWN
プレゼント,名詞,ポケモン,わざ,KNOWN
ほしがる,名詞,ポケモン,わざ,KNOWN
まきつく,名詞,ポケモン,わざ,KNOWN
マルチアタック,名詞,ポケモン,わざ,KNOWN
みだれづき,名詞,ポケモン,わざ,KNOWN
みだれひっかき,名詞,ポケモン,わざ,KNOWN
みねうち,名詞,ポケモン,わざ,KNOWN
メガトンキック,名詞,ポケモン,わざ,KNOWN
メガトンパンチ,名詞,ポケモン,わざ,KNOWN
やつあたり,名詞,ポケモン,わざ,KNOWN
レイジングブル,名詞,ポケモン,わざ,KNOWN
れんぞくパンチ,名詞,ポケモン,わざ,KNOWN
ロケットずつき,名詞,ポケモン,わざ,KNOWN
ロッククライム,名詞,ポケモン,わざ,KNOWN
わるあがき,名詞,ポケモン,わざ,KNOWN
いにしえのうた,名詞,ポケモン,わざ,KNOWN
いびき,名詞,ポケモン,わざ,KNOWN
ウェザーボール,名詞,ポケモン,わざ,KNOWN
エコーボイス,名詞,ポケモン,わざ,KNOWN
かまいたち,名詞,ポケモン,わざ,KNOWN
きりふだ,名詞,ポケモン,わざ,KNOWN
さばきのつぶて,名詞,ポケモン,わざ,KNOWN
さわぐ,名詞,ポケモン,わざ,KNOWN
しぼりとる,名詞,ポケモン,わざ,KNOWN
スピードスター,名詞,ポケモン,わざ,KNOWN
ソニックブーム,名詞,ポケモン,わざ,KNOWN
だいちのはどう,名詞,ポケモン,わざ,KNOWN
テクノバスター,名詞,ポケモン,わざ,KNOWN
テラクラスター,名詞,ポケモン,わざ,KNOWN
テラバースト,名詞,ポケモン,わざ,KNOWN
トライアタック,名詞,ポケモン,わざ,KNOWN
ハイパーボイス,名詞,ポケモン,わざ,KNOWN
はかいこうせん,名詞,ポケモン,わざ,KNOWN
