basic_form,pos,pos_detail_1,pos_detail_2,word_type
フシギダネ,名詞,ポケモン,ポケモンの名前,KNOWN
フシギソウ,名詞,ポケモン,ポケモンの名前,KNOWN
フシギバナ,名詞,ポケモン,ポケモンの名前,KNOWN
メガフシギバナ,名詞,ポケモン,ポケモンの名前,KNOWN
ヒトカゲ,名詞,ポケモン,ポケモンの名前,KNOWN
リザード,名詞,ポケモン,ポケモンの名前,KNOWN
リザードン,名詞,ポケモン,ポケモンの名前,KNOWN
メガリザードンエックス,名詞,ポケモン,ポケモンの名前,KNOWN
メガリザードンワイ,名詞,ポケモン,ポケモンの名前,KNOWN
ゼニガメ,名詞,ポケモン,ポケモンの名前,KNOWN
カメール,名詞,ポケモン,ポケモンの名前,KNOWN
カメックス,名詞,ポケモン,ポケモンの名前,KNOWN
メガカメックス,名詞,ポケモン,ポケモンの名前,KNOWN
キャタピー,名詞,ポケモン,ポケモンの名前,KNOWN
トランセル,名詞,ポケモン,ポケモンの名前,KNOWN
バタフリー,名詞,ポケモン,ポケモンの名前,KNOWN
ビードル,名詞,ポケモン,ポケモンの名前,KNOWN
コクーン,名詞,ポケモン,ポケモンの名前,KNOWN
スピアー,名詞,ポケモン,ポケモンの名前,KNOWN
メガスピアー,名詞,ポケモン,ポケモンの名前,KNOWN
ポッポ,名詞,ポケモン,ポケモンの名前,KNOWN
ピジョン,名詞,ポケモン,ポケモンの名前,KNOWN
ピジョット,名詞,ポケモン,ポケモンの名前,KNOWN
メガピジョット,名詞,ポケモン,ポケモンの名前,KNOWN
コラッタ,名詞,ポケモン,ポケモンの名前,KNOWN
ラッタ,名詞,ポケモン,ポケモンの名前,KNOWN
オニスズメ,名詞,ポケモン,ポケモンの名前,KNOWN
オニドリル,名詞,ポケモン,ポケモンの名前,KNOWN
アーボ,名詞,ポケモン,ポケモンの名前,KNOWN
アーボック,名詞,ポケモン,ポケモンの名前,KNOWN
ピカチュウ,名詞,ポケモン,ポケモンの名前,KNOWN
ライチュウ,名詞,ポケモン,ポケモンの名前,KNOWN
メガライチュウエックス,名詞,ポケモン,ポケモンの名前,KNOWN
メガライチュウワイ,名詞,ポケモン,ポケモンの名前,KNOWN
サンド,名詞,ポケモン,ポケモンの名前,KNOWN
サンドパン,名詞,ポケモン,ポケモンの名前,KNOWN
ニドラン♀,名詞,ポケモン,ポケモンの名前,KNOWN
ニドリーナ,名詞,ポケモン,ポケモンの名前,KNOWN
ニドクイン,名詞,ポケモン,ポケモンの名前,KNOWN
ニドラン♂,名詞,ポケモン,ポケモンの名前,KNOWN
ニドリーノ,名詞,ポケモン,ポケモンの名前,KNOWN
ニドキング,名詞,ポケモン,ポケモンの名前,KNOWN
ピッピ,名詞,ポケモン,ポケモンの名前,KNOWN
ピクシー,名詞,ポケモン,ポケモンの名前,KNOWN
ロコン,名詞,ポケモン,ポケモンの名前,KNOWN
ロコン,名詞,ポケモン,ポケモンの名前,KNOWN
キュウコン,名詞,ポケモン,ポケモンの名前,KNOWN
キュウコン,名詞,ポケモン,ポケモンの名前,KNOWN
プリン,名詞,ポケモン,ポケモンの名前,KNOWN
プクリン,名詞,ポケモン,ポケモンの名前,KNOWN
ズバット,名詞,ポケモン,ポケモンの名前,KNOWN
ゴルバット,名詞,ポケモン,ポケモンの名前,KNOWN
ナゾノクサ,名詞,ポケモン,ポケモンの名前,KNOWN
クサイハナ,名詞,ポケモン,ポケモンの名前,KNOWN
ラフレシア,名詞,ポケモン,ポケモンの名前,KNOWN
パラス,名詞,ポケモン,ポケモンの名前,KNOWN
パラセクト,名詞,ポケモン,ポケモンの名前,KNOWN
コンパン,名詞,ポケモン,ポケモンの名前,KNOWN
モルフォン,名詞,ポケモン,ポケモンの名前,KNOWN
ディグダ,名詞,ポケモン,ポケモンの名前,KNOWN
ディグダ,名詞,ポケモン,ポケモンの名前,KNOWN
ダグトリオ,名詞,ポケモン,ポケモンの名前,KNOWN
ダグトリオ,名詞,ポケモン,ポケモンの名前,KNOWN
ニャース,名詞,ポケモン,ポケモンの名前,KNOWN
ニャース,名詞,ポケモン,ポケモンの名前,KNOWN
ニャース,名詞,ポケモン,ポケモンの名前,KNOWN
ペルシアン,名詞,ポケモン,ポケモンの名前,KNOWN
ペルシアン,名詞,ポケモン,ポケモンの名前,KNOWN
コダック,名詞,ポケモン,ポケモンの名前,KNOWN
ゴルダック,名詞,ポケモン,ポケモンの名前,KNOWN
マンキー,名詞,ポケモン,ポケモンの名前,KNOWN
オコリザル,名詞,ポケモン,ポケモンの名前,KNOWN
ガーディ,名詞,ポケモン,ポケモンの名前,KNOWN
ガーディ,名詞,ポケモン,ポケモンの名前,KNOWN
ウインディ,名詞,ポケモン,ポケモンの名前,KNOWN
ウインディ,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロモ,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロゾ,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロボン,名詞,ポケモン,ポケモンの名前,KNOWN
ケーシィ,名詞,ポケモン,ポケモンの名前,KNOWN
ユンゲラー,名詞,ポケモン,ポケモンの名前,KNOWN
フーディン,名詞,ポケモン,ポケモンの名前,KNOWN
メガフーディン,名詞,ポケモン,ポケモンの名前,KNOWN
ワンリキー,名詞,ポケモン,ポケモンの名前,KNOWN
ゴーリキー,名詞,ポケモン,ポケモンの名前,KNOWN
カイリキー,名詞,ポケモン,ポケモンの名前,KNOWN
マダツボミ,名詞,ポケモン,ポケモンの名前,KNOWN
ウツドン,名詞,ポケモン,ポケモンの名前,KNOWN
ウツボット,名詞,ポケモン,ポケモンの名前,KNOWN
メノクラゲ,名詞,ポケモン,ポケモンの名前,KNOWN
ドククラゲ,名詞,ポケモン,ポケモンの名前,KNOWN
イシツブテ,名詞,ポケモン,ポケモンの名前,KNOWN
イシツブテ,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローン,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローン,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローニャ,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローニャ,名詞,ポケモン,ポケモンの名前,KNOWN
ポニータ,名詞,ポケモン,ポケモンの名前,KNOWN
ポニータ,名詞,ポケモン,ポケモンの名前,KNOWN
ギャロップ,名詞,ポケモン,ポケモンの名前,KNOWN
ギャロップ,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドン,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドン,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドラン,名詞,ポケモン,ポケモンの名前,KNOWN
メガヤドラン,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドラン,名詞,ポケモン,ポケモンの名前,KNOWN
コイル,名詞,ポケモン,ポケモンの名前,KNOWN
レアコイル,名詞,ポケモン,ポケモンの名前,KNOWN
